section_id,course_id,teacher_id,day,start_time,end_time,section_number,term
1,1,1,MWF,10:15:00,11:15:00,210-01,1
2,1,2,MWF,12:45:00,13:45:00,210-02,1
3,1,2,MWF,14:00:00,15:00:00,210-03,1
4,1,3,TR,14:30:00,16:00:00,210-05,1
5,1,4,TR,09:45:00,11:15:00,210-06,1
6,1,1,MWF,11:30:00,12:30:00,210-08,1
7,1,5,TR,08:00:00,09:00:00,210-10,1
8,1,5,TR,14:30:00,16:00:00,210-11,1
9,1,6,ONLINE,NULL,NULL,210-A1,1
10,2,7,MWF,10:15:00,11:15:00,381-01,1
11,2,6,ONLINE,NULL,NULL,381-A1,1
12,3,8,ONLINE,NULL,NULL,397-01,1
13,4,9,MTRF,09:00:00,10:00:00,119-01,1
14,5,6,ONLINE,NULL,NULL,499-A1,2
15,5,6,ONLINE,NULL,NULL,499-A2,2
16,6,9,TR,12:45:00,14:15:00,460-01,2
17,7,10,MWF,09:00:00,10:00:00,341-01,2
18,7,10,MWF,11:30:00,12:30:00,341-02,2
19,8,11,MWF,14:00:00,15:00:00,455-01,2
